                    WELL                INCLUDE             CHAR                TYPE                MAIN                DIVIDER             DELIMETER           L_BIG_BRACKET       R_BIG_BRACKET       L_MID_BRACKET       R_MID_BRACKET       L_SMA_BRACKET       R_SMA_BRACKET       L_SHA_BRACKET       R_SHA_BRACKET       ADDSUB              PLUSDIV             COMP                EXCLAINMATION       LOGIC               WAVE                BIT                 IF                  ELSE                WHILE               RETURN              ASSIGN              CAL_ASSIGN          SELF                INTEGER             FLOAT               CHARACTER           STRING              ID                  UNDEFINED           
E                             R6                  E                             R6                  R6                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             S6                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             S5                  E                             R4                  R4                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             S10                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             E                             E                             S11                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             R18                  S13                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             R2                  R2                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
E                             E                             E                             R3                  R3                  E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             E                             
